"Metal",".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"1","Control","Inhibition","0-4","4-7",3,3,1,"ns",1,"ns"
"2","Control","Inhibition","0-4","7-10",3,3,1,"ns",1,"ns"
"3","Control","Inhibition","4-7","7-10",3,3,1,"ns",1,"ns"
"4","Ag","Inhibition","0-4","4-7",3,3,0.487,"ns",1,"ns"
"5","Ag","Inhibition","0-4","7-10",3,3,0.345,"ns",1,"ns"
"6","Ag","Inhibition","4-7","7-10",3,3,0.128,"ns",0.385,"ns"
"7","Cd","Inhibition","0-4","4-7",3,3,0.573,"ns",1,"ns"
"8","Cd","Inhibition","0-4","7-10",3,3,0.761,"ns",1,"ns"
"9","Cd","Inhibition","4-7","7-10",3,3,0.791,"ns",1,"ns"
"10","Cu","Inhibition","0-4","4-7",3,3,0.477,"ns",1,"ns"
"11","Cu","Inhibition","0-4","7-10",3,3,0.00114,"**",0.00342,"**"
"12","Cu","Inhibition","4-7","7-10",3,3,0.00233,"**",0.00698,"**"
