"","Timepoint","Metal","Species","mean","sd"
"1","0-4","Ag","SM",1.29132769133333,0.056731458964856
"2","0-4","Ag","TB",0.101873962333333,0.148528358704533
"3","0-4","Cd","SM",0.286015951333333,0.0432781147204285
"4","0-4","Cd","TB",0.781278483666667,0.227720325265498
"5","0-4","Control","SM",1.44560289664734e-19,0.00409086298996471
"6","0-4","Control","TB",-3.33333333302159e-10,0.0121993737244277
"7","0-4","Cu","SM",0.597507361,0.0190983328149977
"8","0-4","Cu","TB",0.0995043393333333,0.0679133593286508
"9","4-7","Ag","SM",1.10019868,0.0480400428670159
"10","4-7","Ag","TB",0.157618840666667,0.053782548124914
"11","4-7","Cd","SM",0.624714021666667,0.0657534398939211
"12","4-7","Cd","TB",0.976077525333333,0.441556104533437
"13","4-7","Control","SM",0,0.0178756606180664
"14","4-7","Control","TB",1.15761169458088e-18,0.053157741699615
"15","4-7","Cu","SM",0.607893251333333,0.0475918316524287
"16","4-7","Cu","TB",0.243066259,0.0296648409491172
"17","7-10","Ag","SM",1.103536089,0.293293576701195
"18","7-10","Ag","TB",0.0247104983333333,0.0246864913092981
"19","7-10","Cd","SM",0.600276207,0.0393172286578606
"20","7-10","Cd","TB",0.885531073,0.48338297027352
"21","7-10","Control","SM",1.15761169458088e-18,0.0478498342883798
"22","7-10","Control","TB",4.62592926927149e-18,0.11108291042001
"23","7-10","Cu","SM",1.27528505633333,0.106712550638305
"24","7-10","Cu","TB",1.19943304766667,0.394584705714255
