"","Metal","t","mean","sd"
"1","Ag",0.083,1.0562455,0.144343895782491
"2","Ag",1,1.93780025,0.184462143415887
"3","Ag",2,4.615052,1.47032032833824
"4","Ag",3,4.149501,1.37571870870756
"5","Ag",4,3.848119,1.60823205876826
"6","Ag",7,1.7066275,0.0896658974136767
"7","Ag",10,1.5106975,0.0642366879309117
"8","Cd",0.083,1.317662,0.244907043645815
"9","Cd",1,1.29234275,0.115278178233856
"10","Cd",2,1.31393525,0.037222259320421
"11","Cd",3,1.423406,0.125757987836426
"12","Cd",4,1.3284915,0.0592633549646548
"13","Cd",7,1.22459375,0.0646421343726366
"14","Cd",10,1.27946375,0.0693438756890854
"15","Control",0.083,1.43620675,0.185210776753361
"16","Control",1,1.289405,0.152265537254276
"17","Control",2,1.19065775,0.0207779300119942
"18","Control",3,1.2181355,0.085580827629012
"19","Control",4,1.21021525,0.0479473087070589
"20","Control",7,1.166397,0.0899985415548496
"21","Control",10,1.188684,0.0154678994048966
"22","Cu",0.083,1.46393833325,0.169736238618105
"23","Cu",1,2.446105,0.460849768108871
"24","Cu",2,2.07378825,0.470868217028484
"25","Cu",3,1.5650355,0.137638455831452
"26","Cu",4,1.351225,0.0647465640838699
"27","Cu",7,1.27226425,0.0923095812989277
"28","Cu",10,NA,NA
